name,datetime,tempmax,tempmin,temp,feelslike,precip,windspeed,winddir,sealevelpressure,cloudcover
cairo,2020-01-06,17,10,13.4,13.2,0,42.5,187.9,1015.5,47
cairo,2020-01-07,15,10.8,12.4,12.4,0,46.4,217.5,1015.7,61
cairo,2020-01-08,16,8.1,12.2,10.9,0,40.7,226,1017.5,42.7
cairo,2020-01-09,15,9,11.9,11.3,0.7,31.7,226.5,1016.8,39.3
cairo,2020-01-10,16,8,12.1,11.5,0,31.7,253.2,1018.4,52.7
cairo,2020-01-11,17,8,12.7,12.3,0,14.8,189.1,1024.3,30.8
cairo,2020-01-12,18,11.9,14.3,14.3,0,14.8,228.3,1024.4,64.3
cairo,2020-01-13,18,10,14.1,14.1,0,18.4,38,1023.8,21.4
cairo,2020-01-14,18,11,14.7,14.7,0,29.5,48,1023,54.6
cairo,2020-01-15,21,12,16.5,16.5,0,35.3,60.4,1018.3,49.3
cairo,2020-01-16,18,13,16,16,0,38.9,191.8,1013.1,53.2
cairo,2020-01-17,17,11.9,13.8,13.8,1.2,33.5,208,1015.1,59.8
cairo,2020-01-18,16.8,11.9,13.9,13.9,0.4,22.3,217.2,1018.4,50.3
cairo,2020-01-19,16,10,13.3,13,0.3,24.1,202.2,1020.6,63.1
cairo,2020-01-20,17,12,14.4,14.4,0.2,29.5,271.6,1025.5,68.9
cairo,2020-01-21,16,11,13.2,13.2,0,33.5,308.3,1024.8,56.5
cairo,2020-01-22,16.1,9,12.8,12.7,0,22.3,307.1,1023.8,56.5
cairo,2020-01-23,16,8,12.8,12.3,0.1,20.5,219.3,1023.2,54.5
cairo,2020-01-24,16,10.1,13.4,13.4,0.1,27.7,293.1,1023.4,50
cairo,2020-01-25,17,6,11.4,11.1,0,20.5,24.7,1029,10.4
cairo,2020-01-26,17,6,11.8,11.1,0,29.5,49.8,1028.6,35.4
cairo,2020-01-27,19,7,12.7,11.8,0,31.7,49.3,1023.3,51.1
cairo,2020-01-28,17,9,13.3,13.3,0,16.6,333.1,1019.8,32.2
cairo,2020-01-29,18.1,10,14.9,14.8,0,16.6,272.4,1022.2,38.8
cairo,2020-01-30,19,11,15.5,15.5,0,20.5,289,1022,21.5
cairo,2020-01-31,19,11,14.6,14.6,0,22.3,288.6,1020.8,32.1
cairo,2020-02-01,18,9,14.1,13.8,0,16.6,324.8,1022.2,26.2
cairo,2020-02-02,19,9,14.6,14.6,0,18.4,12.5,1022.7,25.4
cairo,2020-02-03,18,9.9,14.2,14,0,22.3,15.5,1021.8,29.9
cairo,2020-02-04,19,11,15.3,15.3,0,14.8,294.6,1019.6,30.9
cairo,2020-02-05,21,12.9,16.9,16.9,0,31.7,178,1015.2,28.3
cairo,2020-02-06,22,16,18.3,18.3,0,42.5,199,1014.8,0.5
cairo,2020-02-07,19,14,15.9,15.9,0,35.3,246.2,1018.1,27.7
cairo,2020-02-08,16,11.1,13.3,13.3,0,27.7,262.2,1023.2,57.1
cairo,2020-02-09,15,10.1,12.2,12.2,0,31.7,303.3,1027.2,54.9
cairo,2020-02-10,14,9.9,11.8,11.5,0,22.3,302.6,1027.2,75.9
cairo,2020-02-11,18,9,13,12.6,0,24.1,205.6,1023.9,44.2
cairo,2020-02-12,20,11,15.5,15.5,0,24.1,186,1022.5,21.9
cairo,2020-02-13,24,13,18.2,18.2,0,22.3,167.7,1022,3.3
cairo,2020-02-14,20.1,11,15.6,15.6,0,27.7,42.9,1019.6,46.7
cairo,2020-02-15,21,11.8,15.5,15.5,0,14.8,312.6,1015.6,31.4
cairo,2020-02-16,19.8,14,16.2,16.2,0.4,18.4,306.1,1015.4,62.1
cairo,2020-02-17,19,12.8,15.3,15.3,0,27.7,4.2,1017.7,47.5
cairo,2020-02-18,19,10,14,14,0.3,24.1,348.6,1016.8,45.7
cairo,2020-02-19,18.5,11,13.9,13.9,0.8,27.7,273.8,1017.8,50.6
cairo,2020-02-20,19,10,14.5,14.4,0,24.1,225.5,1020,65
cairo,2020-02-21,20,12,15.6,15.6,0,38.9,229.1,1016.4,50.1
cairo,2020-02-22,17,11,14.2,14.2,0,14.8,250.2,1018.9,52.5
cairo,2020-02-23,18,11.9,14.9,14.9,0.4,18.4,6.3,1017.9,70.2
cairo,2020-02-24,16,9,11.6,11.2,10.2,27.7,347.5,1015.7,68.6
cairo,2020-02-25,20,11,15,15,1.4,22.3,258.6,1018.1,50.9
cairo,2020-02-26,22,12.9,17.3,17.3,0,14.8,191.4,1020.6,40.4
cairo,2020-02-27,25,13.1,19.8,19.8,0,14.8,169.6,1018.9,32.2
cairo,2020-02-28,26,16,20.8,20.8,0,18.4,268.8,1015.8,24.8
cairo,2020-02-29,21,14,17.1,17.1,0,31.7,272.9,1016.8,53.6
cairo,2020-03-01,19,12.8,15.4,15.4,0,25.9,303.4,1019.8,39.4
cairo,2020-03-02,20,11,15.3,15.3,0,29.5,21,1021.4,3.5
cairo,2020-03-03,23,11,16.4,16.4,0,31.7,43.9,1019.4,44.6
cairo,2020-03-04,26,11,18.9,18.9,0,22.3,231.1,1013.7,13
cairo,2020-03-05,26,19,21.9,21.9,0,37.1,179.7,1010.3,15
cairo,2020-03-06,20,15.9,17.8,17.8,1.3,31.7,268.9,1012.7,59.1
cairo,2020-03-07,22,14,17.5,17.5,0,25.9,21.7,1019,27.3
cairo,2020-03-08,25,12,18.2,18.2,0,29.5,43.7,1017.9,17.5
cairo,2020-03-09,30,14.8,21.1,20.7,0,42.5,230.7,1012.3,25.2
cairo,2020-03-10,21,12,16.6,16.6,0,33.5,19.3,1016.3,37.8
cairo,2020-03-11,23,13,17.3,17.3,0.5,40.7,31.3,1011.9,51.4
cairo,2020-03-12,17,13.1,15.6,15.6,44.1,46.4,53.1,1003.9,66.7
cairo,2020-03-13,18,12,15.3,15.3,21.5,51.8,221.2,998.6,65.6
cairo,2020-03-14,22,16,18.6,18.6,1,16.6,282.2,1013.7,63.6
cairo,2020-03-15,24,15.8,19.5,19.5,0,16.6,186.9,1016.4,47.5
cairo,2020-03-16,26,16,20.3,20.3,0,22.3,269.8,1014.9,28.1
cairo,2020-03-17,18.1,12,15.4,15.4,0.3,42.5,288.2,1015.7,65.3
cairo,2020-03-18,19,11,14.7,14.7,0,25.9,266.5,1017.2,54.7
cairo,2020-03-19,19,12,14.9,14.9,0,31.7,268.3,1018,54.4
cairo,2020-03-20,17,11,13.5,13.5,0.3,40.7,256.1,1016,37.7
cairo,2020-03-21,18,10,13.9,13.8,0,24.1,328.3,1015.9,56.6
cairo,2020-03-22,21,10,15.9,15.9,0,22.3,78.7,1016.9,41
cairo,2020-03-23,27.9,16,22.4,22,0,48.2,181.9,1010,48.8
cairo,2020-03-24,25,16,19.9,19.9,0,22.3,311,1010.6,8.5
cairo,2020-03-25,22,13.9,17.7,17.7,0,29.5,25.1,1013,45.4
cairo,2020-03-26,28,15.8,20,19.9,0.5,40.7,41.4,1007.4,65.8
cairo,2020-03-27,25.5,16.8,20.3,20.3,0,44.6,9.9,1007.3,44
cairo,2020-03-28,21,15,17.8,17.8,0,22.3,319.7,1016.2,54.6
cairo,2020-03-29,26,13,19.8,19.8,0,24.1,204.5,1015.5,29.6
cairo,2020-03-30,30,18,24.2,23.6,0,37.1,172.6,1010.7,29
cairo,2020-03-31,30.1,18,25.5,25,0.1,48.2,221.4,1007.8,45.7
cairo,2020-04-01,24,15.9,19.3,19.3,0,31.7,273.2,1014.3,43.8
cairo,2020-04-02,24,15.9,19.6,19.6,0,18.4,336.1,1015.5,18
cairo,2020-04-03,28,17,22.4,22.2,0,35.3,57.4,1015.5,12.4
cairo,2020-04-04,34,19,26.9,25.7,0,44.6,109.6,1011.2,8.9
cairo,2020-04-05,31,18.9,25,24.5,0,40.7,255,1011.2,15.7
cairo,2020-04-06,23.3,16,19.4,19.4,0,25.9,4.1,1016.6,31
cairo,2020-04-07,23,14,18.1,18.1,0,24.1,355,1016.5,28.7
cairo,2020-04-08,22,14,18.5,18.5,0,176,358.2,1015.7,52.7
cairo,2020-04-09,23,16,18.9,18.9,0.1,25.9,325.6,1014.3,39.7
cairo,2020-04-10,22,14.8,17.4,17.4,0,29.5,266,1014.9,32.1
cairo,2020-04-11,23,14,18.3,18.3,0,20.5,320.7,1016.7,24.3
cairo,2020-04-12,24,15,19.1,19.1,0,29.5,7.1,1018.5,33
cairo,2020-04-13,24,14.1,19.2,19.2,0,33.5,21.5,1017.7,2.1
cairo,2020-04-14,26,15,19.5,19.5,0,31.7,10.5,1017.6,30
cairo,2020-04-15,28.1,14.9,21.7,21.5,0,18.4,38.4,1017.4,29
cairo,2020-04-16,25.1,16.1,21.6,21.6,0,29.5,276,1012.7,23.2
cairo,2020-04-17,25,15,19.6,19.6,0,25.9,326.6,1013.3,57.1
cairo,2020-04-18,27,15.9,20.5,20.4,0,31.7,4.6,1014.5,18.3
cairo,2020-04-19,27,16,21.1,20.9,0,31.7,9.4,1013.5,13.9
cairo,2020-04-20,31,15.1,21.3,21.2,0,31.7,20.2,1012.2,12.3
cairo,2020-04-21,32,17,24.6,23.8,0,20.5,52,1010.1,33.1
cairo,2020-04-22,33.8,19.9,26.8,25.8,0,40.7,235.9,1007.3,10.4
cairo,2020-04-23,29,16.9,22.5,22.2,0,29.5,321.2,1011.9,22.9
cairo,2020-04-24,34,17.9,24.1,23.5,0,55.4,274.7,1005.1,41.8
cairo,2020-04-25,23.8,16,19.4,19.4,0,27.7,282.9,1011.4,68.5
cairo,2020-04-26,25,15.9,20.4,20.4,0,27.7,307.7,1013.8,38
cairo,2020-04-27,29,18,23.6,23.3,0,24.1,76.6,1012,27.5
cairo,2020-04-28,28.8,18,22.8,22.6,0,29.5,7.1,1011.1,1.8
cairo,2020-04-29,26,16,20.2,20.2,0,24.1,346,1014.8,25.4
cairo,2020-04-30,28,15.9,21.5,21.3,0,24.1,20.6,1014.4,13.8
cairo,2020-05-01,31,19,25.3,24.7,0,29.5,333,1012.8,12.6
cairo,2020-05-02,29,17,23.4,23,0,24.1,355.2,1012.7,6.3
cairo,2020-05-03,30,18,23.6,23.2,0,24.1,352.2,1011.2,12.9
cairo,2020-05-04,32,19.9,25.7,25,0,35.3,17.6,1010,5.2
cairo,2020-05-05,25,17.9,21.2,21.2,0,38.9,287.1,1012.4,50.5
cairo,2020-05-06,27,17,21.4,21.3,0,22.3,307.5,1015.6,21.5
cairo,2020-05-07,31,17,24.3,23.7,0,24.1,1.8,1013.9,0
