name,datetime,tempmax,tempmin,temp,feelslike,precip,windspeed,winddir,sealevelpressure,cloudcover,season
cairo,2020-01-06,17.0,10.0,13.4,13.2,0.0,42.5,187.9,1015.5,47.0,Winter
cairo,2020-01-07,15.0,10.8,12.4,12.4,0.0,46.4,217.5,1015.7,61.0,Winter
cairo,2020-01-08,16.0,8.1,12.2,10.9,0.0,40.7,226.0,1017.5,42.7,Winter
cairo,2020-01-09,15.0,9.0,11.9,11.3,0.7,31.7,226.5,1016.8,39.3,Winter
cairo,2020-01-10,16.0,8.0,12.1,11.5,0.0,31.7,253.2,1018.4,52.7,Winter
cairo,2020-01-11,17.0,8.0,12.7,12.3,0.0,14.8,189.1,1024.3,30.8,Winter
cairo,2020-01-12,18.0,11.9,14.3,14.3,0.0,14.8,228.3,1024.4,64.3,Winter
cairo,2020-01-13,18.0,10.0,14.1,14.1,0.0,18.4,38.0,1023.8,21.4,Winter
cairo,2020-01-14,18.0,11.0,14.7,14.7,0.0,29.5,48.0,1023.0,54.6,Winter
cairo,2020-01-15,21.0,12.0,16.5,16.5,0.0,35.3,60.4,1018.3,49.3,Winter
cairo,2020-01-16,18.0,13.0,16.0,16.0,0.0,38.9,191.8,1013.1,53.2,Winter
cairo,2020-01-17,17.0,11.9,13.8,13.8,1.2,33.5,208.0,1015.1,59.8,Winter
cairo,2020-01-18,16.8,11.9,13.9,13.9,0.4,22.3,217.2,1018.4,50.3,Winter
cairo,2020-01-19,16.0,10.0,13.3,13.0,0.3,24.1,202.2,1020.6,63.1,Winter
cairo,2020-01-20,17.0,12.0,14.4,14.4,0.2,29.5,271.6,1025.5,68.9,Winter
cairo,2020-01-21,16.0,11.0,13.2,13.2,0.0,33.5,308.3,1024.8,56.5,Winter
cairo,2020-01-22,16.1,9.0,12.8,12.7,0.0,22.3,307.1,1023.8,56.5,Winter
cairo,2020-01-23,16.0,8.0,12.8,12.3,0.1,20.5,219.3,1023.2,54.5,Winter
cairo,2020-01-24,16.0,10.1,13.4,13.4,0.1,27.7,293.1,1023.4,50.0,Winter
cairo,2020-01-25,17.0,6.0,11.4,11.1,0.0,20.5,24.7,1029.0,10.4,Winter
cairo,2020-01-26,17.0,6.0,11.8,11.1,0.0,29.5,49.8,1028.6,35.4,Winter
cairo,2020-01-27,19.0,7.0,12.7,11.8,0.0,31.7,49.3,1023.3,51.1,Winter
cairo,2020-01-28,17.0,9.0,13.3,13.3,0.0,16.6,333.1,1019.8,32.2,Winter
cairo,2020-01-29,18.1,10.0,14.9,14.8,0.0,16.6,272.4,1022.2,38.8,Winter
cairo,2020-01-30,19.0,11.0,15.5,15.5,0.0,20.5,289.0,1022.0,21.5,Winter
cairo,2020-01-31,19.0,11.0,14.6,14.6,0.0,22.3,288.6,1020.8,32.1,Winter
cairo,2020-02-01,18.0,9.0,14.1,13.8,0.0,16.6,324.8,1022.2,26.2,Winter
cairo,2020-02-02,19.0,9.0,14.6,14.6,0.0,18.4,12.5,1022.7,25.4,Winter
cairo,2020-02-03,18.0,9.9,14.2,14.0,0.0,22.3,15.5,1021.8,29.9,Winter
cairo,2020-02-04,19.0,11.0,15.3,15.3,0.0,14.8,294.6,1019.6,30.9,Winter
cairo,2020-02-05,21.0,12.9,16.9,16.9,0.0,31.7,178.0,1015.2,28.3,Winter
cairo,2020-02-06,22.0,16.0,18.3,18.3,0.0,42.5,199.0,1014.8,0.5,Winter
cairo,2020-02-07,19.0,14.0,15.9,15.9,0.0,35.3,246.2,1018.1,27.7,Winter
cairo,2020-02-08,16.0,11.1,13.3,13.3,0.0,27.7,262.2,1023.2,57.1,Winter
cairo,2020-02-09,15.0,10.1,12.2,12.2,0.0,31.7,303.3,1027.2,54.9,Winter
cairo,2020-02-10,14.0,9.9,11.8,11.5,0.0,22.3,302.6,1027.2,75.9,Winter
cairo,2020-02-11,18.0,9.0,13.0,12.6,0.0,24.1,205.6,1023.9,44.2,Winter
cairo,2020-02-12,20.0,11.0,15.5,15.5,0.0,24.1,186.0,1022.5,21.9,Winter
cairo,2020-02-13,24.0,13.0,18.2,18.2,0.0,22.3,167.7,1022.0,3.3,Winter
cairo,2020-02-14,20.1,11.0,15.6,15.6,0.0,27.7,42.9,1019.6,46.7,Winter
cairo,2020-02-15,21.0,11.8,15.5,15.5,0.0,14.8,312.6,1015.6,31.4,Winter
cairo,2020-02-16,19.8,14.0,16.2,16.2,0.4,18.4,306.1,1015.4,62.1,Winter
cairo,2020-02-17,19.0,12.8,15.3,15.3,0.0,27.7,4.2,1017.7,47.5,Winter
cairo,2020-02-18,19.0,10.0,14.0,14.0,0.3,24.1,348.6,1016.8,45.7,Winter
cairo,2020-02-19,18.5,11.0,13.9,13.9,0.8,27.7,273.8,1017.8,50.6,Winter
cairo,2020-02-20,19.0,10.0,14.5,14.4,0.0,24.1,225.5,1020.0,65.0,Winter
cairo,2020-02-21,20.0,12.0,15.6,15.6,0.0,38.9,229.1,1016.4,50.1,Winter
cairo,2020-02-22,17.0,11.0,14.2,14.2,0.0,14.8,250.2,1018.9,52.5,Winter
cairo,2020-02-23,18.0,11.9,14.9,14.9,0.4,18.4,6.3,1017.9,70.2,Winter
cairo,2020-02-24,16.0,9.0,11.6,11.2,10.2,27.7,347.5,1015.7,68.6,Winter
cairo,2020-02-25,20.0,11.0,15.0,15.0,1.4,22.3,258.6,1018.1,50.9,Winter
cairo,2020-02-26,22.0,12.9,17.3,17.3,0.0,14.8,191.4,1020.6,40.4,Winter
cairo,2020-02-27,25.0,13.1,19.8,19.8,0.0,14.8,169.6,1018.9,32.2,Winter
cairo,2020-02-28,26.0,16.0,20.8,20.8,0.0,18.4,268.8,1015.8,24.8,Winter
cairo,2020-02-29,21.0,14.0,17.1,17.1,0.0,31.7,272.9,1016.8,53.6,Winter
cairo,2020-03-01,19.0,12.8,15.4,15.4,0.0,25.9,303.4,1019.8,39.4,Spring
cairo,2020-03-02,20.0,11.0,15.3,15.3,0.0,29.5,21.0,1021.4,3.5,Spring
cairo,2020-03-03,23.0,11.0,16.4,16.4,0.0,31.7,43.9,1019.4,44.6,Spring
cairo,2020-03-04,26.0,11.0,18.9,18.9,0.0,22.3,231.1,1013.7,13.0,Spring
cairo,2020-03-05,26.0,19.0,21.9,21.9,0.0,37.1,179.7,1010.3,15.0,Spring
cairo,2020-03-06,20.0,15.9,17.8,17.8,1.3,31.7,268.9,1012.7,59.1,Spring
cairo,2020-03-07,22.0,14.0,17.5,17.5,0.0,25.9,21.7,1019.0,27.3,Spring
cairo,2020-03-08,25.0,12.0,18.2,18.2,0.0,29.5,43.7,1017.9,17.5,Spring
cairo,2020-03-09,30.0,14.8,21.1,20.7,0.0,42.5,230.7,1012.3,25.2,Spring
cairo,2020-03-10,21.0,12.0,16.6,16.6,0.0,33.5,19.3,1016.3,37.8,Spring
cairo,2020-03-11,23.0,13.0,17.3,17.3,0.5,40.7,31.3,1011.9,51.4,Spring
cairo,2020-03-12,17.0,13.1,15.6,15.6,44.1,46.4,53.1,1003.9,66.7,Spring
cairo,2020-03-13,18.0,12.0,15.3,15.3,21.5,51.8,221.2,998.6,65.6,Spring
cairo,2020-03-14,22.0,16.0,18.6,18.6,1.0,16.6,282.2,1013.7,63.6,Spring
cairo,2020-03-15,24.0,15.8,19.5,19.5,0.0,16.6,186.9,1016.4,47.5,Spring
cairo,2020-03-16,26.0,16.0,20.3,20.3,0.0,22.3,269.8,1014.9,28.1,Spring
cairo,2020-03-17,18.1,12.0,15.4,15.4,0.3,42.5,288.2,1015.7,65.3,Spring
cairo,2020-03-18,19.0,11.0,14.7,14.7,0.0,25.9,266.5,1017.2,54.7,Spring
cairo,2020-03-19,19.0,12.0,14.9,14.9,0.0,31.7,268.3,1018.0,54.4,Spring
cairo,2020-03-20,17.0,11.0,13.5,13.5,0.3,40.7,256.1,1016.0,37.7,Spring
